timestamp_utc,order_id,transaction_name,txid,pre_block_height,post_block_height,block_confirmed,block_confirmation_ms
2026-03-16T17:01:10.529003+00:00,BLK-C2240E30C5,recordOrderPlaced,,2396,2397,True,2123.5738749383017
2026-03-16T17:01:12.700110+00:00,BLK-1E2DC3876A,recordOrderPlaced,,2397,2398,True,2106.058583012782
2026-03-16T17:01:14.897718+00:00,BLK-758B04E713,recordOrderPlaced,,2398,2399,True,2132.5320840114728
2026-03-16T17:01:17.115500+00:00,BLK-D091DD24FD,recordOrderPlaced,,2399,2400,True,2154.295916086994
2026-03-16T17:01:19.310576+00:00,BLK-14B4DA05CB,recordOrderPlaced,,2400,2401,True,2132.62616598513
2026-03-16T17:01:21.476996+00:00,BLK-F3B5C3B785,recordOrderPlaced,,2401,2402,True,2102.8447499265894
2026-03-16T17:01:23.659891+00:00,BLK-5C091A90F8,recordOrderPlaced,,2402,2403,True,2120.426791952923
2026-03-16T17:01:25.854010+00:00,BLK-2AD30C9AEB,recordOrderPlaced,,2403,2404,True,2131.0573749942705
2026-03-16T17:01:28.031071+00:00,BLK-1850F843B1,recordOrderPlaced,,2404,2405,True,2113.2948340382427
2026-03-16T17:01:30.205261+00:00,BLK-399E4CF176,recordOrderPlaced,,2405,2406,True,2112.314666970633
